accelerometer_x,accelerometer_y,accelerometer_z,timestamp
-0.18,9.9,1.38,2015-09-27 17:27:45:708
0.95,9.33,1.14,2015-09-27 17:27:46:208
0.24,9.86,0.27,2015-09-27 17:27:46:708
0.33,9.78,0.08,2015-09-27 17:27:47:208
0.32,9.73,0.06,2015-09-27 17:27:47:708
0.28,9.76,0.04,2015-09-27 17:27:48:208
0.2,9.72,-0.05,2015-09-27 17:27:48:708
0.22,9.78,-0.1,2015-09-27 17:27:49:209
0.33,9.76,0.01,2015-09-27 17:27:49:708
0.3,9.75,-0.01,2015-09-27 17:27:50:208
0.13,9.7,-0.37,2015-09-27 17:27:50:709
-0.17,9.8,0.47,2015-09-27 17:27:51:209
0.03,9.74,0.4,2015-09-27 17:27:51:708
0.23,9.66,0.06,2015-09-27 17:27:52:208
0.16,9.65,-0.54,2015-09-27 17:27:52:708
0.56,9.79,-0.37,2015-09-27 17:27:53:209
